time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.336 0.0264513 -0.103968 0.106098 -0.105026 0.0165575 0.112189 -0.1117 -0.111974 0
0.338 0.0282687 -0.102094 0.104248 -0.103172 0.0167917 0.112031 -0.111508 -0.111798 0
0.34 0.0301314 -0.100176 0.102352 -0.101274 0.0170585 0.111837 -0.111282 -0.111588 0
0.342 0.0320386 -0.0982149 0.100411 -0.0993323 0.0173581 0.111608 -0.11102 -0.111343 0
0.344 0.0339891 -0.096212 0.0984268 -0.0973482 0.0176907 0.111345 -0.110724 -0.111063 0
0.346 0.0359819 -0.0941683 0.0964002 -0.0953228 0.0180565 0.111046 -0.110393 -0.110748 0
0.348 0.038016 -0.092085 0.0943322 -0.0932572 0.0184557 0.110712 -0.110027 -0.110398 0
0.35 0.0400902 -0.0899632 0.0922242 -0.0911526 0.0188884 0.110342 -0.109626 -0.110013 0
0.352 0.0422032 -0.0878042 0.0900772 -0.0890102 0.0193547 0.109937 -0.109189 -0.109593 0
0.354 0.044354 -0.0856093 0.0878927 -0.0868312 0.0198547 0.109496 -0.108718 -0.109138 0
0.356 0.0465412 -0.0833797 0.0856718 -0.084617 0.0203884 0.109019 -0.108211 -0.108647 0
0.358 0.0487636 -0.0811169 0.0834159 -0.0823688 0.0209559 0.108507 -0.107669 -0.108122 0
0.36 0.0510198 -0.0788222 0.0811264 -0.0800881 0.0215572 0.10796 -0.107092 -0.107561 0
0.362 0.0533085 -0.076497 0.0788048 -0.0777761 0.0221922 0.107376 -0.10648 -0.106966 0
0.364 0.0556283 -0.0741427 0.0764524 -0.0754345 0.0228609 0.106758 -0.105833 -0.106335 0
0.366 0.0579777 -0.0717609 0.0740708 -0.0730645 0.0235633 0.106104 -0.105152 -0.10567 0
0.368 0.0603552 -0.0693531 0.0716614 -0.0706677 0.0242991 0.105415 -0.104436 -0.104969 0
0.37 0.0627595 -0.0669207 0.0692258 -0.0682457 0.0250683 0.104692 -0.103686 -0.104235 0
0.372 0.0651889 -0.0644655 0.0667657 -0.0657999 0.0258707 0.103933 -0.102901 -0.103466 0
0.374 0.067642 -0.0619889 0.0642825 -0.063332 0.0267062 0.10314 -0.102083 -0.102664 0
0.376 0.070117 -0.0594926 0.061778 -0.0608436 0.0275744 0.102313 -0.101231 -0.101827 0
0.378 0.0726124 -0.0569783 0.0592538 -0.0583364 0.0284751 0.101452 -0.100346 -0.100957 0
0.38 0.0751267 -0.0544477 0.0567117 -0.0558119 0.0294082 0.100557 -0.0994281 -0.100054 0
0.382 0.077658 -0.0519024 0.0541532 -0.0532718 0.0303732 0.0996288 -0.0984776 -0.0991188 0
0.384 0.0802047 -0.0493442 0.0515803 -0.050718 0.0313698 0.0986678 -0.0974949 -0.0981508 0
