time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.256 -0.00333986 -0.136449 0.136722 -0.136559 0.0285713 0.0948947 -0.0956134 -0.0954031 0
0.258 -0.00362524 -0.136672 0.137001 -0.136803 0.0279274 0.0957369 -0.0964346 -0.0962311 0
0.26 -0.00386263 -0.136845 0.137232 -0.136999 0.0272916 0.0965668 -0.0972428 -0.0970465 0
0.262 -0.00405128 -0.13697 0.137413 -0.137146 0.0266648 0.0973837 -0.0980373 -0.0978484 0
0.264 -0.00419047 -0.137043 0.137544 -0.137242 0.0260477 0.0981869 -0.0988174 -0.0986363 0
0.266 -0.00427952 -0.137066 0.137624 -0.137288 0.0254411 0.0989756 -0.0995824 -0.0994094 0
0.268 -0.00431779 -0.137038 0.137652 -0.137283 0.0248459 0.0997492 -0.100332 -0.100167 0
0.27 -0.00430468 -0.136958 0.137628 -0.137226 0.0242629 0.100507 -0.101064 -0.100908 0
0.272 -0.00423962 -0.136825 0.137552 -0.137117 0.0236929 0.101248 -0.101779 -0.101632 0
0.274 -0.00412209 -0.136639 0.137422 -0.136955 0.0231366 0.101971 -0.102476 -0.102339 0
0.276 -0.0039516 -0.136399 0.137238 -0.13674 0.0225948 0.102676 -0.103155 -0.103027 0
0.278 -0.00372769 -0.136106 0.137 -0.136471 0.0220684 0.103363 -0.103814 -0.103696 0
0.28 -0.00344998 -0.135759 0.136708 -0.136148 0.021558 0.10403 -0.104453 -0.104345 0
0.282 -0.00311808 -0.135357 0.136361 -0.13577 0.0210645 0.104676 -0.105071 -0.104973 0
0.284 -0.00273169 -0.1349 0.135958 -0.135338 0.0205886 0.105302 -0.105667 -0.10558 0
0.286 -0.00229051 -0.134388 0.1355 -0.134851 0.020131 0.105906 -0.106242 -0.106166 0
0.288 -0.00179431 -0.133821 0.134985 -0.134309 0.0196925 0.106488 -0.106793 -0.106729 0
0.29 -0.00124291 -0.133199 0.134415 -0.133712 0.0192738 0.107046 -0.107322 -0.107268 0
0.292 -0.000636141 -0.132521 0.133789 -0.133059 0.0188756 0.107581 -0.107826 -0.107784 0
0.294 2.60925e-05 -0.131787 0.133106 -0.132351 0.0184986 0.108092 -0.108305 -0.108276 0
0.296 0.000743853 -0.130999 0.132368 -0.131587 0.0181435 0.108577 -0.108759 -0.108742 0
0.298 0.00151716 -0.130154 0.131572 -0.130768 0.017811 0.109037 -0.109187 -0.109182 0
0.3 0.00234598 -0.129255 0.130721 -0.129893 0.0175017 0.109471 -0.109588 -0.109596 0
0.302 0.00323024 -0.1283 0.129813 -0.128963 0.0172162 0.109878 -0.109962 -0.109984 0
0.304 0.00416981 -0.12729 0.128849 -0.127978 0.0169553 0.110257 -0.110309 -0.110344 0
0.306 0.00516455 -0.126225 0.12783 -0.126938 0.0167195 0.110608 -0.110627 -0.110676 0
0.308 0.00621423 -0.125106 0.126755 -0.125843 0.0165094 0.110931 -0.110917 -0.110979 0
0.31 0.00731859 -0.123932 0.125624 -0.124694 0.0163256 0.111225 -0.111177 -0.111253 0
0.312 0.00847734 -0.122705 0.124438 -0.123491 0.0161686 0.111489 -0.111407 -0.111498 0
0.314 0.00969012 -0.121424 0.123198 -0.122234 0.016039 0.111724 -0.111608 -0.111713 0
0.316 0.0109565 -0.12009 0.121903 -0.120924 0.0159374 0.111927 -0.111777 -0.111897 0
0.318 0.0122762 -0.118704 0.120555 -0.119562 0.0158641 0.1121 -0.111916 -0.11205 0
0.32 0.0136485 -0.117265 0.119153 -0.118147 0.0158198 0.112241 -0.112023 -0.112172 0
0.322 0.015073 -0.115776 0.117699 -0.11668 0.0158049 0.11235 -0.112098 -0.112262 0
0.324 0.0165491 -0.114235 0.116192 -0.115163 0.0158198 0.112427 -0.112141 -0.11232 0
0.326 0.0180762 -0.112644 0.114634 -0.113595 0.0158649 0.112471 -0.112151 -0.112346 0
