time setHForeLeft setHHindLeft setHForeRight setHHindRight realHForeLeft realHHindLeft realHForeRight realHHindRight distance
0.158 0.0416562 -0.0471796 0.0861655 -0.0859057 0.0345837 0.0523535 -0.0545262 -0.0522679 0.0261058
0.16 0.0423031 -0.045912 0.087432 -0.0871659 0.0347381 0.053055 -0.0543539 -0.0529659 0.0265157
0.162 0.0429867 -0.0446339 0.0887089 -0.0884368 0.0349031 0.053768 -0.0541595 -0.0536753 0.0269221
0.164 0.043707 -0.0433466 0.0899951 -0.089717 0.0350791 0.0544925 -0.0539432 -0.0543961 0.0273246
0.166 0.0444636 -0.0420514 0.0912893 -0.0910056 0.0352668 0.0552284 -0.0537054 -0.0551283 0.0277233
0.168 0.0452565 -0.0407494 0.0925903 -0.0923012 0.0354666 0.0559755 -0.0534463 -0.0558717 0.0281185
0.17 0.0460852 -0.0394419 0.0938969 -0.0936027 0.035679 0.0567339 -0.0531662 -0.0566263 0.0285102
0.172 0.0469496 -0.0381301 0.0952078 -0.0949088 0.0359044 0.0575033 -0.0528655 -0.057392 0.0288986
0.174 0.0478493 -0.0368153 0.0965218 -0.0962183 0.0361433 0.0582836 -0.0525445 -0.0581685 0.0292836
0.176 0.0487839 -0.0354989 0.0978375 -0.0975299 0.0363962 0.0590746 -0.0522036 -0.0589557 0.0296655
0.178 0.049753 -0.0341821 0.0991537 -0.0988424 0.0366633 0.059876 -0.0518432 -0.0597534 0.0300431
0.18 0.0507562 -0.0328662 0.100469 -0.100154 0.0369452 0.0606878 -0.0514636 -0.0605615 0.0304168
0.182 0.051793 -0.0315525 0.101782 -0.101465 0.0372421 0.0615096 -0.0510654 -0.0613795 0.0307867
0.184 0.052863 -0.0302425 0.103092 -0.102772 0.0375546 0.0623412 -0.0506489 -0.0622074 0.0311528
0.186 0.0539655 -0.0289374 0.104397 -0.104075 0.0378828 0.0631822 -0.0502147 -0.0630447 0.0315154
0.188 0.0551 -0.0276386 0.105695 -0.105372 0.0382271 0.0640324 -0.0497632 -0.0638913 0.0318743
0.19 0.0562659 -0.0263474 0.106986 -0.106663 0.0385879 0.0648914 -0.0492949 -0.0647467 0.0322296
0.192 0.0574625 -0.0250653 0.108269 -0.107944 0.0389654 0.0657588 -0.0488103 -0.0656106 0.0325814
0.194 0.0586892 -0.0237935 0.109541 -0.109217 0.0393599 0.0666343 -0.0483099 -0.0664827 0.0329296
0.196 0.0599453 -0.0225335 0.110801 -0.110478 0.0397716 0.0675176 -0.0477944 -0.0673626 0.0332741
0.198 0.06123 -0.0212867 0.112048 -0.111727 0.0402008 0.0684081 -0.0472643 -0.0682499 0.0336151
0.2 0.0625426 -0.0200543 0.113281 -0.112962 0.0406476 0.0693055 -0.0467201 -0.0691441 0.0339524
0.202 0.0638823 -0.0188378 0.114498 -0.114182 0.0411123 0.0702092 -0.0461624 -0.0700449 0.034286
0.204 0.0652482 -0.0176386 0.115698 -0.115386 0.041595 0.0711189 -0.0455919 -0.0709517 0.0346159
0.206 0.0666395 -0.0164579 0.11688 -0.116572 0.0420959 0.072034 -0.0450092 -0.0718641 0.0349421
0.208 0.0680554 -0.0152973 0.118042 -0.11774 0.0426151 0.0729541 -0.044415 -0.0727816 0.0352645
